vdc,ward,parcel_id,Landuse,Area
करुनिया,1,2, कृषि क्षेत्र,0-11-14
करुनिया,1,2,आवासीय क्षेत्र,0-9-17
करुनिया,1,5, कृषि क्षेत्र,0-16-3
करुनिया,1,5,आवासीय क्षेत्र,0-3-12
करुनिया,1,8, कृषि क्षेत्र,0-2-15
करुनिया,1,8,आवासीय क्षेत्र,0-7-11
करुनिया,1,9,आवासीय क्षेत्र,0-0-9
करुनिया,1,10,आवासीय क्षेत्र,0-0-7
करुनिया,1,11,आवासीय क्षेत्र,0-0-5
करुनिया,1,13, कृषि क्षेत्र,0-1-7
करुनिया,1,14, कृषि क्षेत्र,0-0-6
करुनिया,1,15, कृषि क्षेत्र,0-0-6
करुनिया,1,16, कृषि क्षेत्र,0-16-4
करुनिया,1,20,आवासीय क्षेत्र,0-1-4
करुनिया,1,21, कृषि क्षेत्र,0-0-2
करुनिया,1,21,आवासीय क्षेत्र,0-9-18
करुनिया,1,22,आवासीय क्षेत्र,0-3-7
करुनिया,1,24,आवासीय क्षेत्र,0-4-5
करुनिया,1,25,आवासीय क्षेत्र,0-1-16
करुनिया,1,28, कृषि क्षेत्र,0-0-20
करुनिया,1,28,आवासीय क्षेत्र,0-4-19
करुनिया,1,29, कृषि क्षेत्र,0-11-18
करुनिया,1,29,आवासीय क्षेत्र,0-1-19
करुनिया,1,30, कृषि क्षेत्र,0-12-5
करुनिया,1,30,आवासीय क्षेत्र,0-0-2
करुनिया,1,33,आवासीय क्षेत्र,0-6-20
करुनिया,1,34, कृषि क्षेत्र,0-9-0
करुनिया,1,34,आवासीय क्षेत्र,3/1/2005
करुनिया,1,36, कृषि क्षेत्र,1/7/2005
करुनिया,1,36,आवासीय क्षेत्र,0-6-17
करुनिया,1,38, कृषि क्षेत्र,1/6/2014
करुनिया,1,38,आवासीय क्षेत्र,1/8/2008
करुनिया,1,38,नदी खोला ताल सीमसार क्षेत्र,0-0-0
करुनिया,1,40, कृषि क्षेत्र,0-1-16
करुनिया,1,41, कृषि क्षेत्र,0-2-2
करुनिया,1,43, कृषि क्षेत्र,0-2-14
करुनिया,1,44, कृषि क्षेत्र,0-2-6
करुनिया,1,45, कृषि क्षेत्र,0-2-14
करुनिया,1,46, कृषि क्षेत्र,0-2-7
करुनिया,1,47, कृषि क्षेत्र,0-0-10
करुनिया,1,48, कृषि क्षेत्र,0-2-19
करुनिया,1,50, कृषि क्षेत्र,2/9/2014
करुनिया,1,51, कृषि क्षेत्र,0-6-12
करुनिया,1,52, कृषि क्षेत्र,0-5-10
करुनिया,1,53, कृषि क्षेत्र,0-1-8
